Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),User Growth JSON,Earnings Quality JSON,Static ,Live,Symbol
Immutable X,Blockchains (L2),62.73696332,90.02038226,92.61538462,90.06,83.85818255,Exceptional Growth,Undervalued,AA,"{""name"": ""Immutable X"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 90.02038225560229, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""user_growth"": 96.30346290771791}}, {""name"": ""Gravity"", ""scores"": {""user_growth"": 81.36211567178466}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}, {""name"": ""Uniswap"", ""scores"": {""user_growth"": 77.58420441347272}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}","{""name"": ""Immutable X"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 62.73696331707027}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}",False,False,imx
zkSync,Blockchains (L2),37.32803842,76.67636132,37.21840659,85.15,59.09320158,Strong Growth,Overvalued,A,"{""name"": ""zkSync"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 76.67636131763253, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""user_growth"": 96.30346290771791}}, {""name"": ""Gravity"", ""scores"": {""user_growth"": 81.36211567178466}}, {""name"": ""Immutable X"", ""scores"": {""user_growth"": 90.02038225560229}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}","{""name"": ""zkSync"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 37.3280384228913}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""Immutable X"", ""scores"": {""earnings_quality"": 62.73696331707027}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}",False,False,zk
GMX,Derivative exchanges,50.31912787,95.64567206,75.34722222,91.92,78.30800554,Exceptional Growth,Undervalued,AA,"{""name"": ""GMX"", ""sector"": ""Derivative exchanges"", ""scores"": {""user_growth"": 95.64567206192824, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Pendle"", ""scores"": {""user_growth"": 94.4047485765466}}, {""name"": ""Synthetix"", ""scores"": {""user_growth"": 80.07145256221611}}, {""name"": ""Drift Protocol"", ""scores"": {""user_growth"": 95.91836734693877}}, {""name"": ""Aevo"", ""scores"": {""user_growth"": 89.37847866419295}}], ""sector_averages"": {""user_growth"": 55.1, ""count"": 55}}","{""name"": ""GMX"", ""sector"": ""Derivative exchanges"", ""scores"": {""earnings_quality"": 50.319127872574335}, ""peers"": [{""name"": ""Pendle"", ""scores"": {""earnings_quality"": 44.20295270085844}}, {""name"": ""Synthetix"", ""scores"": {""earnings_quality"": 30.536112044822108}}, {""name"": ""Hegic"", ""scores"": {""earnings_quality"": 54.79070870679547}}, {""name"": ""SynFutures"", ""scores"": {""earnings_quality"": 44.47377406233293}}], ""sector_averages"": {""earnings_quality"": 8.13, ""count"": 63}}",False,True,gmx
Pendle,Derivative exchanges,44.2029527,94.40474858,51.42857143,89.37,69.85156818,Exceptional Growth,Fairly Valued,AA,"{""name"": ""Pendle"", ""sector"": ""Derivative exchanges"", ""scores"": {""user_growth"": 94.4047485765466, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""GMX"", ""scores"": {""user_growth"": 95.64567206192824}}, {""name"": ""Synthetix"", ""scores"": {""user_growth"": 80.07145256221611}}, {""name"": ""Drift Protocol"", ""scores"": {""user_growth"": 95.91836734693877}}, {""name"": ""Aevo"", ""scores"": {""user_growth"": 89.37847866419295}}], ""sector_averages"": {""user_growth"": 55.1, ""count"": 55}}","{""name"": ""Pendle"", ""sector"": ""Derivative exchanges"", ""scores"": {""earnings_quality"": 44.20295270085844}, ""peers"": [{""name"": ""GMX"", ""scores"": {""earnings_quality"": 50.319127872574335}}, {""name"": ""Synthetix"", ""scores"": {""earnings_quality"": 30.536112044822108}}, {""name"": ""Hegic"", ""scores"": {""earnings_quality"": 54.79070870679547}}, {""name"": ""SynFutures"", ""scores"": {""earnings_quality"": 44.47377406233293}}], ""sector_averages"": {""earnings_quality"": 8.13, ""count"": 63}}",False,True,pendle
Synthetix,Derivative exchanges,30.53611204,80.07145256,49.49404762,83.71,51.42857143,Exceptional Growth,Fairly Valued,A,"{""name"": ""Synthetix"", ""sector"": ""Derivative exchanges"", ""scores"": {""user_growth"": 80.07145256221611, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""GMX"", ""scores"": {""user_growth"": 95.64567206192824}}, {""name"": ""Pendle"", ""scores"": {""user_growth"": 94.4047485765466}}, {""name"": ""Drift Protocol"", ""scores"": {""user_growth"": 95.91836734693877}}, {""name"": ""Aevo"", ""scores"": {""user_growth"": 89.37847866419295}}], ""sector_averages"": {""user_growth"": 55.1, ""count"": 55}}","{""name"": ""Synthetix"", ""sector"": ""Derivative exchanges"", ""scores"": {""earnings_quality"": 30.536112044822108}, ""peers"": [{""name"": ""GMX"", ""scores"": {""earnings_quality"": 50.319127872574335}}, {""name"": ""Pendle"", ""scores"": {""earnings_quality"": 44.20295270085844}}, {""name"": ""Hegic"", ""scores"": {""earnings_quality"": 54.79070870679547}}, {""name"": ""SynFutures"", ""scores"": {""earnings_quality"": 44.47377406233293}}], ""sector_averages"": {""earnings_quality"": 8.13, ""count"": 63}}",False,False,snx
Aerodrome Finance,Exchanges (DEX),60.78862235,88.64047174,74.745671,79.36,75.88369127,Exceptional Growth,Undervalued,A,"{""name"": ""Aerodrome Finance"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 88.64047173627264, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}","{""name"": ""Aerodrome Finance"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 60.788622351381406}, ""peers"": [{""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}",False,False,aero
Curve DAO Token,Exchanges (DEX),56.84522302,80.46152922,50.34801136,89.29,69.2361909,Exceptional Growth,Fairly Valued,AA,"{""name"": ""Curve DAO Token"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.46152922439074, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}","{""name"": ""Curve DAO Token"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 56.84522301549867}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}",False,True,crv
Ethena,Exchanges (DEX),57.15610751,80.86119468,76.46969697,90.55,76.25924979,Exceptional Growth,Undervalued,AA,"{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.8611946775879, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}","{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 57.15610750876476}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}",False,False,ena
Mocaverse,Exchanges (DEX),27.03023138,40.23071721,29.1311553,85.15,45.38552597,Slow Growth,Overvalued,A,"{""name"": ""Mocaverse"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Entangle"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}","{""name"":""Mocaverse"",""sector"":""Exchanges (DEX)"",""scores"":{""earnings_quality"":27.03023138},""peers"":[{""name"":""PancakeSwap"",""scores"":{""earnings_quality"":20.61052856}},{""name"":""Sushiswap"",""scores"":{""earnings_quality"":47.83216669}},{""name"":""Curve DAO Token"",""scores"":{""earnings_quality"":56.84522302}},{""name"":""Ethena"",""scores"":{""earnings_quality"":57.15610751}}],""sector_averages"":{""earnings_quality"":8.69,""count"":136}}",False,False,moca
PancakeSwap,Exchanges (DEX),20.61052856,99.14772727,81.26623377,91.84,73.2161224,Exceptional Growth,Undervalued,AA,"{""name"": ""PancakeSwap"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 99.14772727272728, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}","{""name"": ""PancakeSwap"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 20.610528563344047}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}",False,False,cake
Sushiswap,Exchanges (DEX),47.83216669,88.87737216,49.53125,85.11,67.83769721,Exceptional Growth,Fairly Valued,A,"{""name"": ""Sushiswap"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 88.87737216435771, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}","{""name"": ""Sushiswap"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 47.83216668659891}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}",False,False,sushi
Chainlink,Infrastructure,26.85214894,85.72299652,30.9375,92.06,58.89316136,Exceptional Growth,Overvalued,AA,"{""name"": ""Chainlink"", ""sector"": ""Infrastructure"", ""scores"": {""user_growth"": 85.72299651567945, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Livepeer"", ""scores"": {""user_growth"": 85.63829787234042}}, {""name"": ""Render Network"", ""scores"": {""user_growth"": 91.6969382459782}}, {""name"": ""Virtuals Protocol"", ""scores"": {""user_growth"": 91.48936170212764}}, {""name"": ""Kaito"", ""scores"": {""user_growth"": 85.92371562013491}}], ""sector_averages"": {""user_growth"": 53.9, ""count"": 52}}","{""name"": ""Chainlink"", ""sector"": ""Infrastructure"", ""scores"": {""earnings_quality"": 26.85214894352868}, ""peers"": [{""name"": ""Helium"", ""scores"": {""earnings_quality"": 53.575124466986615}}, {""name"": ""Layer3"", ""scores"": {""earnings_quality"": 46.27089996011394}}, {""name"": ""Tornado Cash"", ""scores"": {""earnings_quality"": 40.6421287830892}}, {""name"": ""Zerion"", ""scores"": {""earnings_quality"": 35.11925409569828}}], ""sector_averages"": {""earnings_quality"": 2.39, ""count"": 97}}",False,True,link
Aave,Lending,62.67057363,99.07407407,70.5859375,90.35,80.6701463,Exceptional Growth,Undervalued,AA,"{""name"": ""Aave"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 99.07407407407408, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Compound"", ""scores"": {""user_growth"": 79.99756335282652}}, {""name"": ""Euler"", ""scores"": {""user_growth"": 61.46686159844056}}, {""name"": ""Maple Finance"", ""scores"": {""user_growth"": 63.62573099415204}}, {""name"": ""Morpho"", ""scores"": {""user_growth"": 81.08004385964914}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}","{""name"": ""Aave"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 62.67057362728197}, ""peers"": [{""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}",False,True,aave
Compound,Lending,32.43084977,79.99756335,42.6953125,91.56,61.6709314,Strong Growth,Fairly Valued,AA,"{""name"": ""Compound"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 79.99756335282652, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Aave"", ""scores"": {""user_growth"": 99.07407407407408}}, {""name"": ""Euler"", ""scores"": {""user_growth"": 61.46686159844056}}, {""name"": ""Maple Finance"", ""scores"": {""user_growth"": 63.62573099415204}}, {""name"": ""Morpho"", ""scores"": {""user_growth"": 81.08004385964914}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}","{""name"": ""Compound"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 32.43084976560476}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}",False,False,comp
Maple Finance,Lending,54.32192715,63.62573099,56.83035714,92.39,66.79200382,Steady Growth,Fairly Valued,AA,"{""name"": ""Maple Finance"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 63.62573099415204, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Aave"", ""scores"": {""user_growth"": 99.07407407407408}}, {""name"": ""Compound"", ""scores"": {""user_growth"": 79.99756335282652}}, {""name"": ""Euler"", ""scores"": {""user_growth"": 61.46686159844056}}, {""name"": ""Morpho"", ""scores"": {""user_growth"": 81.08004385964914}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}","{""name"": ""Maple Finance"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 54.32192715059285}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}",False,True,mpl
Vechain,Lending,62.67057363,99.07407407,70.5859375,92.59,81.2301463,Exceptional Growth,Undervalued,AA,"{""name"": ""Vechain"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 99.07407407407408, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Aave"", ""scores"": {""user_growth"": 99.07407407407408}}, {""name"": ""Compound"", ""scores"": {""user_growth"": 79.99756335282652}}, {""name"": ""Euler"", ""scores"": {""user_growth"": 61.46686159844056}}, {""name"": ""Maple Finance"", ""scores"": {""user_growth"": 63.62573099415204}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}","{""name"":""Vechain"",""sector"":""Lending"",""scores"":{""earnings_quality"":62.67057363},""peers"":[{""name"":""Aave"",""scores"":{""earnings_quality"":62.67057363}},{""name"":""Venus USDT"",""scores"":{""earnings_quality"":58.729369995}},{""name"":""Maple Finance"",""scores"":{""earnings_quality"":54.32192715}},{""name"":""Compound"",""scores"":{""earnings_quality"":32.43084977}}],""sector_averages"":{""earnings_quality"":8.52,""count"":62}}",False,False,vet
Jito Labs,Liquid staking,40.57981265,92.94117647,52.91666667,82.52,67.23941395,Exceptional Growth,Fairly Valued,A,"{""name"": ""Jito Labs"", ""sector"": ""Liquid staking"", ""scores"": {""user_growth"": 92.94117647058825, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Lido DAO"", ""scores"": {""user_growth"": 79.24632352941175}}, {""name"": ""Stader ETHx"", ""scores"": {""user_growth"": 44.74264705882353}}, {""name"": ""Solayer"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""EigenLayer"", ""scores"": {""user_growth"": 87.64705882352942}}], ""sector_averages"": {""user_growth"": 52.75, ""count"": 22}}","{""name"": ""Venus USDT"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 58.729369995647765}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}",False,False,jto
Lido DAO,Liquid staking,62.60100053,79.24632353,70.40625,92.06,76.07839352,Strong Growth,Undervalued,AA,"{""name"": ""Lido DAO"", ""sector"": ""Liquid staking"", ""scores"": {""user_growth"": 79.24632352941175, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""user_growth"": 92.94117647058825}}, {""name"": ""Stader ETHx"", ""scores"": {""user_growth"": 44.74264705882353}}, {""name"": ""Solayer"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""EigenLayer"", ""scores"": {""user_growth"": 87.64705882352942}}], ""sector_averages"": {""user_growth"": 52.75, ""count"": 22}}","{""name"": ""Jito Labs"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 40.57981264730388}, ""peers"": [{""name"": ""Lido DAO"", ""scores"": {""earnings_quality"": 62.60100053261692}}, {""name"": ""Stader ETHx"", ""scores"": {""earnings_quality"": 39.25070817974617}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}",False,True,ldo
Stader ETHx,Liquid staking,39.25070818,44.74264706,11.25,64.22,39.86583881,Slow Growth,Overvalued,BB,"{""name"": ""Stader ETHx"", ""sector"": ""Liquid staking"", ""scores"": {""user_growth"": 44.74264705882353, ""growth_category"": ""Slow Growth""}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""user_growth"": 92.94117647058825}}, {""name"": ""Lido DAO"", ""scores"": {""user_growth"": 79.24632352941175}}, {""name"": ""Solayer"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""EigenLayer"", ""scores"": {""user_growth"": 87.64705882352942}}], ""sector_averages"": {""user_growth"": 52.75, ""count"": 22}}","{""name"": ""Lido DAO"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 62.60100053261692}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""earnings_quality"": 40.57981264730388}}, {""name"": ""Stader ETHx"", ""scores"": {""earnings_quality"": 39.25070817974617}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}",False,False,ethx
Entangle,Stablecoin issuers,28.18419007,49.52380952,41.80803571,73.67,48.29650883,Steady Growth,Fairly Valued,BBB,"{""name"": ""Entangle"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}","{""name"": ""Stader ETHx"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 39.25070817974617}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""earnings_quality"": 40.57981264730388}}, {""name"": ""Lido DAO"", ""scores"": {""earnings_quality"": 62.60100053261692}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}",False,False,ngl
Ethena,Stablecoin issuers,58.228517,85.625,65.07440476,90.55,74.86948044,Exceptional Growth,Fairly Valued,AA,"{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 80.8611946775879, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}","{""name"":""Ethena"",""sector"":""Stablecoin issuers"",""scores"":{""earnings_quality"":58.228517},""peers"":[{""name"":""Jito Labs"",""scores"":{""earnings_quality"":40.57981265}},{""name"":""Stader ETHx"",""scores"":{""earnings_quality"":39.25070818}},{""name"":""Lido DAO"",""scores"":{""earnings_quality"":62.60100053}},{""name"":""StakeWise"",""scores"":{""earnings_quality"":31.52352037}}],""sector_averages"":{""earnings_quality"":5.0,""count"":10}}",False,False,ena
OriginTrail,Stablecoin issuers,41.77057313,71.47321429,54.12202381,70.57,59.48395281,Strong Growth,Fairly Valued,BB,"{""name"": ""OriginTrail"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Entangle"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}","{""name"": ""Ethena"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 57.15610750876476}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}",False,False,trac
Sky (formerly MakerDAO),Stablecoin issuers,77.66717859,63.81696429,45.0,91.99,69.61853572,Steady Growth,Fairly Valued,AA,"{""name"":""Sky (formerly MakerDAO)"",""sector"":""Lending"",""scores"":{""user_growth"":63.81696428571428,""growth_category"":""Steady Growth""},""peers"":[{""name"":""Maple Finance"",""scores"":{""user_growth"":63.62573099415204}},{""name"":""Euler"",""scores"":{""user_growth"":61.46686159844056}},{""name"":""Compound"",""scores"":{""user_growth"":79.99756335282652}},{""name"":""Venus USDT"",""scores"":{""user_growth"":86.17202729044836}}],""sector_averages"":{""user_growth"":53.35,""count"":46}}","{""name"":""Sky (formerly MakerDAO)"",""sector"":""Lending"",""scores"":{""earnings_quality"":77.66717859},""peers"":[{""name"":""Aave"",""scores"":{""earnings_quality"":62.67057363}},{""name"":""Vechain"",""scores"":{""earnings_quality"":62.67057363}},{""name"":""Venus USDT"",""scores"":{""earnings_quality"":58.729369995}},{""name"":""Maple Finance"",""scores"":{""earnings_quality"":54.32192715}}],""sector_averages"":{""earnings_quality"":8.52,""count"":62}}",False,False,mkr
